autor,status,cena_wywolawcza,cena_sprzedazy,tytul,rok_powstania,aukcja,wymiar_x,wymiar_y,wielkosc,techniki,material,rok_pow_new
Andrzej Łobodziński,dostępny w Galerii,500,0,BEZ TYTUŁU,,2019-10-15,29.5,21.0,619.5,serigrafia,papier,
Antoni Janusz Wojnarowski,zarchiwizowany,600,0,DWIE JASKÓŁKI, 2019,2019-10-15,20.0,40.0,800.0,olej,płótno,2019
Mieczysław Wejman,zarchiwizowany,2000,0,ROWERZYSTA II A, 1965,2019-10-15,49.0,64.0,3136.0,"akwaforta, ruletka",papier,1965
Jacek Yerka,zarchiwizowany,500,7500,POŻEGNANIE,,2019-10-15,15.9,22.6,359.34000000000003,"kredki, ołówek",karton,
Krystyna Łada-Studnicka,zarchiwizowany,2000,0,NAD JEZIOREM,,2019-10-15,46.0,58.0,2668.0,olej,płótno,
 Witold-K.,zarchiwizowany,6000,6000,KOMPOZYCJA, 1972,2019-10-15,67.5,52.5,3543.75,akryl,płyta piankowa,1972
Jacek Yerka,zarchiwizowany,500,7300,KRÓTKA HISTORIA ARCHITEKTURY, 2016,2019-10-15,29.5,20.8,613.6,"kredki, ołówek",karton,2016
Jan Tarasin,zarchiwizowany,1000,2900,DWA SZKICE KOMPOZYCJI, LATA 90. XX W.,2019-10-15,20.5,14.5,297.25,długopis,papier,90
Helena Zaremba-Cybis,dostępny w Galerii,5000,0,KOSZYKI I BUTLA, LATA 70. XX W.,2019-10-15,53.0,64.5,3418.5,olej,płótno,70
Leszek Rózga,zarchiwizowany,500,500,ULOTNE CHWILE, 1973,2019-10-15,32.3,24.9,804.2699999999999,akwaforta barwna,papier kremowy,1973
Katarzyna Śmiałowicz,zarchiwizowany,1200,1200,BLIŻEJ II. POCAŁUNEK, 2009,2019-10-15,80.0,120.0,9600.0,olej,płótno,2009
Erna Rosenstein,zarchiwizowany,1500,3000,KOMPOZYCJA, 1966,2019-10-15,14.2,10.0,142.0,"tusz pióro, akwarela",papier,1966
Henryk Stażewski,zarchiwizowany,900,900,KOMPOZYCJA ABSTRAKCYJNA, 1984,2019-10-15,10.0,5.5,55.0,serigrafia,papier,1984
Monika Stolarska,zarchiwizowany,500,1300,"KOMPOZYCJA NR 3 Z CYKLU ""POMIĘDZY""", 2016,2019-10-15,70.0,40.0,2800.0,akryl,płótno,2016
Wiesław Obrzydowski,zarchiwizowany,2500,4100,PARA, 1999,2019-10-15,95.0,60.0,5700.0,gwasz,płótno,1999
Jerzy Nowosielski,zarchiwizowany,1200,1300,GŁOWA KOBIETY,,2019-10-15,25.4,19.1,485.14,serigrafia,papier,
Włodzimierz Pawlak,zarchiwizowany,500,500,RYSUNEK, 2018,2019-10-15,29.0,20.5,594.5,flamastry barwne,papier,2018
  Nikifor Krynicki,zarchiwizowany,2000,2500,ŚWIĘCI (TRYPTYK),,2019-10-15,8.0,9.5,76.0,"akwarela, gwasz",tektura,
Stefan Gierowski,zarchiwizowany,500,500,KOMPOZYCJA,,2019-10-15,17.5,16.7,292.25,serigrafia,papier,
Sergiusz  Grudkowski ,zarchiwizowany,600,600,I NARESZCIE MORZE ... (UJŚCIE WISŁY), 1984,2019-10-15,24.2,49.0,1185.8,akwarela,papier czerpany,1984
Leonor Fini,zarchiwizowany,1000,1000,SZKICE KOBIET,,2019-10-15,33.0,40.5,1336.5,litografia,papier,
Stanisław Frenkiel,zarchiwizowany,1000,1000,HISZPAŃSKIE ZOO, 1973,2019-10-15,49.5,38.7,1915.65,"tempera, akwarela",papier,1973
Stefan Rassalski,zarchiwizowany,700,700,DON KICHOT NAPADNIĘTY, 1964,2019-10-15,35.4,39.0,1380.6,linoryt,papier,1964
Jan Tarasin,zarchiwizowany,500,1200,BEZ TYTUŁU, 1990,2019-10-15,38.0,28.0,1064.0,serigrafia,papier,1990
Fryderyk Antoni Hayder,zarchiwizowany,500,500,PEJZAŻ FABRYCZNY, 1974,2019-10-15,34.0,49.0,1666.0,gwasz,papier,1974
Jan Młodożeniec,zarchiwizowany,2500,0,PŁÓTNO 7,,2019-10-15,41.0,29.5,1209.5,gwasz,papier,
Stanisław Fijałkowski,zarchiwizowany,500,1000,ANIOŁ II,,2019-10-15,11.0,8.7,95.69999999999999,serigrafia,papier,
Andrzej Domżalski ,zarchiwizowany,500,500,PRZEBUDZENIE, 2018,2019-10-15,100.0,70.0,7000.0,akryl,karton,2018
Edward Dwurnik,zarchiwizowany,1300,1700,"PATROL, Z CYKLU POJAZDY", 1973,2019-10-15,34.0,51.0,1734.0,flamaster,papier,1973
