autor,status,cena_wywolawcza,cena_sprzedazy,tytul,rok_powstania,aukcja,wymiar_x,wymiar_y,wielkosc,techniki,material,rok_pow_new
Józef Jarema,zarchiwizowany,3500,3500,KOMPOZYCJA, 1957,2020-11-03,20.0,29.0,580.0,"gwasz, kredki",karton,1957
Jacek Yerka,zarchiwizowany,500,4800,GĄSZCZ KALIGRAFICZNY-H, 2020,2020-11-03,29.6,21.0,621.6,ołówek,karton,2020
Waldemar Jerzy Marszałek,dostępny w Galerii,2500,0,POSTAĆ W CZERWONEJ CZAPCE, 2008,2020-11-03,36.0,34.0,1224.0,olej,płótno,2008
Eugeniusz Get-Stankiewicz  ,zarchiwizowany,800,800,OEDIPUS REX, 1980,2020-11-03,43.0,30.0,1290.0,serigrafia,papier,1980
Franciszek Starowieyski,zarchiwizowany,4500,6700,OŚMIOKROTNY PROFIL, 1999,2020-11-03,44.0,29.5,1298.0,pastel,papier,1999
Jacek Yerka,zarchiwizowany,500,5000,NAWAŁNICA, 2015,2020-11-03,14.8,19.7,291.56,"kredki, ołówek",karton,2015
Adam Hoffmann,dostępny w Galerii,1200,0,SCENA Z SATYREM, 1972,2020-11-03,35.0,49.0,1715.0,"kredka czarna, tusz pędzel",papier,1972
Jan Lebenstein,dostępny w Galerii,1200,0,COURSE PÉTRIFIÉE, 1973,2020-11-03,48.7,70.0,3409.0,litografia,papier,1973
Helena Zaremba-Cybis,dostępny w Galerii,4000,0,MARTWA NATURA Z DZBANAMI, 1976,2020-11-03,38.2,46.0,1757.2,olej,płótno,1976
Edward Dwurnik,zarchiwizowany,3000,7900,USTA CZERWONE, 2006,2020-11-03,18.0,13.0,234.0,olej,płótno,2006
Stefan Rassalski,zarchiwizowany,700,700,DON KICHOT WYDRWIONY, 1956,2020-11-03,33.3,42.0,1398.6,linoryt,papier,1956
Ryszard Stryjec,zarchiwizowany,800,800,PRO MEMORIA, 1980,2020-11-03,32.2,29.2,940.24,akwaforta,papier,1980
Jan Tarasin,zarchiwizowany,500,1200,BEZ TYTUŁU, 1990,2020-11-03,36.3,26.3,954.6899999999999,serigrafia,papier,1990
Victor Vasarely,zarchiwizowany,3500,3500,NEPTUNE E,,2020-11-03,40.5,40.5,1640.25,serigrafia,papier,
Edward Dwurnik,dostępny w Galerii,2000,0,ZAKOCHANY LISTONOSZ, 2000,2020-11-03,32.0,24.5,784.0,akwaforta,papier,2000
Fryderyk Antoni Hayder,dostępny w Galerii,3600,0,MOTYW Z KATOWIC, 1969,2020-11-03,49.8,69.7,3471.06,tempera,papier,1969
Jean Kisling,dostępny w Galerii,1800,0,PORTRET RUDOWŁOSEJ,,2020-11-03,57.0,44.5,2536.5,litografia barwna,papier,
Hilary Krzysztofiak,dostępny w Galerii,4000,0,PEJZAŻ GÓRSKI, 1974,2020-11-03,43.7,54.2,2368.5400000000004,"technika własna, papier",płyta,1974
Krzysztof Witold Skórczewski,dostępny w Galerii,900,0,LINA, 1991,2020-11-03,35.6,31.5,1121.4,"miedzioryt, ruletka",papier,1991
Antoni Janusz Wojnarowski,dostępny w Galerii,600,0,DWA WRÓBLE, 2019,2020-11-03,20.0,40.0,800.0,olej,płótno,2019
Jacek Barszcz,zarchiwizowany,2000,2000,OGRÓD, 2016,2020-11-03,50.0,70.0,3500.0,olej,płótno,2016
Jan Cybis,zarchiwizowany,2000,2600,AKT STOJĄCY,,2020-11-03,41.5,24.0,996.0,"ołówek, akwarela",papier,
  Nikifor Krynicki,zarchiwizowany,6000,6200,PEJZAŻ MIEJSKI Z KOŚCIOŁEM, LATA 60. XX W.,2020-11-03,19.0,13.0,247.0,"akwarela, gwasz, ołówek",papier,60
Rafał Olbiński,zarchiwizowany,1000,1300,TEKSTURA PRZYPADKOWEGO PRAGNIENIA,,2020-11-03,72.5,57.0,4132.5,litografia,papier,
Judyta (Jehudith) Sobel,zarchiwizowany,6000,6000,KWIATY W WAZONIE,,2020-11-03,76.5,60.5,4628.25,olej,płótno,
Judyta (Jehudith) Sobel,zarchiwizowany,3000,3400,WIDOK NA MIASTO,,2020-11-03,38.0,27.8,1056.4,"akwarela, kredka",papier,
Stanisław Jerzy Suder,zarchiwizowany,500,500,Z CYKLU PTAKI - CUDAKI , 1985,2020-11-03,9.0,7.0,63.0,"akwarela, gwasz",tektura,1985
Stanisław Jerzy Suder,zarchiwizowany,500,1300,Z CYKLU PTAKI-CUDAKI, 1985,2020-11-03,8.8,8.8,77.44000000000001,"akwarela, gwasz",tektura,1985
Jan Tarasin,zarchiwizowany,500,600,BEZ TYTUŁU, 1976/1991,2020-11-03,33.0,26.5,874.5,serigrafia czerwona,papier szaroniebieski,1976
Jan Tarasin,zarchiwizowany,500,800,GÓRA, 1977,2020-11-03,39.2,24.7,968.24,serigrafia,papier,1977
Salvador Dali,dostępny w Galerii,6000,0,Z CYKLU „BAJKI JAPOŃSKIE” , 1974,2020-11-03,48.0,38.5,1848.0,"sucha igła, szablon",papier,1974
Salvador Dali,dostępny w Galerii,6000,0,Z CYKLU „BAJKI JAPOŃSKIE” , 1974,2020-11-03,48.0,38.5,1848.0,"sucha igła, szablon",papier,1974
Stasys Eidrigevičius,dostępny w Galerii,7000,0,GŁOWA, LATA 80-90. XX W.,2020-11-03,60.8,45.3,2754.24,pastel,papier,80
Wiesław Garboliński,dostępny w Galerii,2000,0,W PRACOWNI I, 2004,2020-11-03,45.5,61.5,2798.25,kredka,papier,2004
Adam Hoffmann,dostępny w Galerii,1200,0,JUDYTA, 1973,2020-11-03,49.5,34.0,1683.0,"pastel, gwasz",papier,1973
Zdzisław Otello Horodecki,dostępny w Galerii,2000,0,WIERZBY POLSKIE NR 3. ALEATORYZM, 2009,2020-11-03,70.0,70.0,4900.0,akryl,płótno,2009
Zofia Kobylińska-Olszewska,dostępny w Galerii,4500,0,MARTWA NATURA Z GRUSZKAMI,,2020-11-03,49.5,39.4,1950.3,olej,płyta,
Aleksander Kobzdej,dostępny w Galerii,6000,0,DZIEWCZYNA Z AZJI, OK. 1955,2020-11-03,62.0,48.0,2976.0,gwasz,papier,1955
Pablo Picasso,dostępny w Galerii,4500,0,TANIEC FAUNÓW, 1957,2020-11-03,42.7,52.8,2254.56,litografia kremowo-czarna,papier Arches,1957
Stefan Rassalski,dostępny w Galerii,600,0,WITOLD MAŁCUŻYŃSKI GRA III KONCERT RACHMANINOWA,,2020-11-03,30.5,21.3,649.65,linoryt,papier,
Jerzy Stajuda,dostępny w Galerii,1000,0,BEZ TYTUŁU, 1979,2020-11-03,46.0,60.5,2783.0,tusz pióro,papier,1979
Tibor  Csernus ,dostępny w Galerii,1800,0,AKT, 1978,2020-11-03,64.5,48.5,3128.25,"tusz, węgiel",papier kremowy żeberkowy,1978
Janusz Oskar  Knorowski,dostępny w Galerii,6000,0,BRZOZY, 2001,2020-11-03,90.0,130.0,11700.0,olej,płótno,2001
Otto Axer,zarchiwizowany,1000,1000,NOSIWODA, 1975,2020-11-03,23.0,19.0,437.0,"akwarela, tusz",papier,1975
Marian Paweł Bocianowski,zarchiwizowany,500,600,ULICA KROKODYLI - KONCERT DLA ADELI,,2020-11-03,39.3,32.0,1257.6,akwaforta barwna,papier,
Rafał Bujnowski,zarchiwizowany,1500,1500,M - 1, 2001,2020-11-03,48.0,68.0,3264.0,linoryt,papier,2001
Waldemar Mazurek,zarchiwizowany,1000,1300,AKT, 2020,2020-11-03,1.0,1.0,1.0,brąz,kamień,2020
Igor Mitoraj,zarchiwizowany,3000,6000,PANCERZ II (CUIRASSE II), 1986,2020-11-03,1.0,1.0,1.0,brąz,kamień,1986
  Nikifor Krynicki,zarchiwizowany,6000,6100,WIDOK MIEJSKI Z SAMOCHODEM, LATA 60. XX W.,2020-11-03,20.5,14.7,301.34999999999997,"akwarela, gwasz, ołówek",papier,60
Jacek Yerka,zarchiwizowany,1800,5500,POLSKIE BONSAI, 1999,2020-11-03,21.0,28.5,598.5,ołówek,karton,1999
Mela - (Melania Mutermilch) Muter,zarchiwizowany,160000,0,PORTRET DZIEWCZYNY,,2020-10-18,53.0,41.1,2178.3,olej,płótno,
Tymon Niesiołowski,dostępny w Galerii,35000,0,MARTWA NATURA,,2020-10-18,48.4,65.5,3170.2,olej,płyta pilśniowa,
Jean  Lambert-Rucki,dostępny w Galerii,7000,0,ŚW. SZYMON APOSTOŁ,,2020-10-18,28.0,6.9,193.20000000000002,brąz patynowany,drewno,
Franciszek Żmurko,zarchiwizowany,13000,24000,GŁOWA DZIEWCZYNY,,2020-10-18,20.9,15.7,328.12999999999994,olej,tektura,
Tadeusz Rybkowski,zarchiwizowany,20000,48000,POŻEGNANIE,,2020-10-18,34.4,60.8,2091.52,olej,płótno,
Tadeusz Ajdukiewicz,zarchiwizowany,85000,85000,CHŁOPIEC GRAJĄCY NA FLECIE, 1875,2020-10-18,132.5,103.0,13647.5,olej,płótno,1875
Marian Mokwa,zarchiwizowany,2000,6500,POWRÓT Z POŁOWU, 1927,2020-10-18,28.2,47.2,1331.04,"ołówek, akwarela",papier,1927
Tadeusz Ajdukiewicz,zarchiwizowany,145000,146000,SCENA Z POWSTANIA STYCZNIOWEGO, 1876,2020-10-18,43.3,88.4,3827.72,olej,płótno naklejone na sklejkę,1876
Zygmunt Rozwadowski,zarchiwizowany,140000,148000,CZWÓRKA, 1904,2020-10-18,75.2,135.7,10204.64,olej,płótno,1904
Jerzy Kossak,zarchiwizowany,10000,29000,NA POSTOJU, 1932,2020-10-18,50.7,70.2,3559.1400000000003,olej,tektura,1932
Paul Ludwig Kowalczewski,zarchiwizowany,2500,6500,NIOSĄCA WODĘ. WASSERTRÄGERIN,,2020-10-18,41.6,20.0,832.0,brąz patynowany,marmur,
Leon Wyczółkowski,zarchiwizowany,75000,75000,MARTWA NATURA Z BIAŁYMI RÓŻAMI, 1912,2020-10-18,69.0,57.0,3933.0,"akwarela, gwasz, pastel",papier,1912
Rajmund Kanelba,dostępny w Galerii,9000,0,SĄD SALOMONA, 1936,2020-10-18,76.0,55.2,4195.2,gwasz,papier,1936
Jerzy Kossak,zarchiwizowany,40000,134000,PRZEPRAWA PRZEZ WILIĘ, 1923,2020-10-18,94.5,139.3,13163.85,olej,płótno,1923
Zygmunt Rozwadowski,zarchiwizowany,4000,21000,PRZED POLOWANIEM, 1912,2020-10-18,27.0,35.0,945.0,olej,tektura,1912
Ludwik Gędłek,zarchiwizowany,35000,35000,PRZED KAPLICZKĄ,,2020-10-18,36.7,58.2,2135.94,olej,deska mahoniowa,
Aleksander Augustynowicz,zarchiwizowany,10000,10000,KWIATY W WAZONIE,,2020-10-18,75.3,46.3,3486.39,akwarela,karton,
Jacek Malczewski,zarchiwizowany,700000,1210000,AUTOPORTRET Z KWIATEM KONICZYNY, 1909,2020-10-18,58.2,47.7,2776.1400000000003,olej,deska o sfazowanych krawędziach,1909
Alfred Wierusz-Kowalski,zarchiwizowany,90000,170000,SANNA, 1890-1900,2020-10-18,24.4,32.3,788.1199999999999,olej,płótno,1890
Alfred Wierusz-Kowalski,zarchiwizowany,320000,330000,SAMOTNY WILK,,2020-10-18,70.3,88.9,6249.67,olej,płótno,
Teodor Axentowicz,zarchiwizowany,100000,116000,PORTRET JESIENNY, 1911,2020-10-18,175.2,93.2,16328.64,"akwarela, pastel, ołówek",karton,1911
Feliks Michał Wygrzywalski,zarchiwizowany,5000,31000,ODPOCZYNEK RYBAKÓW, 1918,2020-10-18,44.2,64.0,2828.8,"akwarela, gwasz, ołówek",papier nakl. na tekturę,1918
Antoni Kozakiewicz,zarchiwizowany,200000,270000,WYKRADZIONA, PRZED 1886,2020-10-18,149.0,205.5,30619.5,olej,płótno,1886
Michał Gorstkin Wywiórski,zarchiwizowany,45000,110000,ZIMOWY PEJZAŻ, 1918,2020-10-18,100.2,160.5,16082.1,olej,płótno,1918
Maurycy Trębacz,zarchiwizowany,10000,16000,MARTWA NATURA,,2020-10-18,49.5,69.5,3440.25,olej,sklejka,
Wojciech Weiss,zarchiwizowany,3000,17000,W PARKU,,2020-10-18,13.7,24.0,328.79999999999995,olej,deska,
Wacław Pawliszak,zarchiwizowany,27000,27000,ZALOTY, 1893,2020-10-18,80.0,48.3,3864.0,olej,płótno,1893
Józef Pankiewicz,zarchiwizowany,120000,120000,SEKWANA W LES ANDELYS, 1920,2020-10-18,31.4,56.1,1761.54,olej,płótno,1920
Alfons Karpiński,dostępny w Galerii,25000,0,ASTRY,,2020-10-18,67.8,48.7,3301.86,olej,tektura,
Jacek Malczewski,zarchiwizowany,130000,162000,SCENA SYBIRSKA. UMYWANIE NÓG, 1890,2020-10-18,24.5,19.0,465.5,olej,deska mahoniowa,1890
Antoni Piotrowski,dostępny w Galerii,18000,0,HUSARIA W NATARCIU, 1918,2020-10-18,61.3,90.0,5517.0,olej,tektura,1918
Wincenty Wodzinowski,dostępny w Galerii,9000,0,ODPOCZYNEK,,2020-10-18,70.5,99.2,6993.6,olej,tektura,
Józef Mehoffer,zarchiwizowany,150000,405000,ŚCIEŻKA OGRODOWA, 1934,2020-10-18,51.2,67.0,3430.4,olej,płótno,1934
Ludomir Ślendziński,dostępny w Galerii,50000,0,DWIE KOBIETY. STUDIUM, 1919,2020-10-18,96.0,66.2,6355.200000000001,sangwina,karton,1919
Bohdan Kiszka,dostępny w Galerii,17000,0,PAMIĘTNIK: STARZY NAMYSŁOWIACY,,2020-10-18,62.7,77.7,4871.79,olej,płótno,
Tadeusz Makowski,zarchiwizowany,160000,188000,MAŁA DZIEWCZYNKA, 1924-1927,2020-10-18,36.3,28.3,1027.29,olej,płótno,1924
Stanisław Chlebowski,zarchiwizowany,12000,12000,IMPRESJA Z ANDRINOPLE, 22 VI 1875,2020-10-18,30.6,24.7,755.82,olej,płótno,22
Maurycy Trębacz,zarchiwizowany,12000,20000,MARTWA NATURA Z PIWONIAMI,,2020-10-18,51.0,69.6,3549.6,olej,sklejka,
Konrad Krzyżanowski,zarchiwizowany,70000,70000,PEJZAŻ Z CERKWIĄ. PEJZAŻ Z ROZTOCZA, 1905,2020-10-18,20.5,26.0,533.0,olej,deska o sfazowanych krawędziach,1905
Leon Wyczółkowski,zarchiwizowany,28000,43000,ANEMONY, 1917,2020-10-18,49.5,38.3,1895.85,akwarela,papier,1917
Wojciech Weiss,zarchiwizowany,43000,66000,CZYTAJĄCA,,2020-10-18,64.5,81.0,5224.5,olej,płótno,
Jacek Malczewski,zarchiwizowany,500000,510000,ZACZAROWANY OGRÓD, 1905,2020-10-18,34.8,26.6,925.68,olej,deska,1905
Jan Styka,zarchiwizowany,28000,86000,QUO VADIS. LIGIA Z KAGAŃCEM, 1904-1912,2020-10-18,72.2,58.9,4252.58,olej,tektura,1904
Czesław (I. Zygmuntowicz) Wasilewski,zarchiwizowany,13000,20000,POWRÓT Z POLOWANIA,,2020-10-18,48.5,80.8,3918.7999999999997,olej,płótno,
Bronisława Rychter-Janowska,zarchiwizowany,5000,12000,LEKTURA,,2020-10-18,13.0,18.4,239.2,olej,tektura,
Iwan Trusz,zarchiwizowany,19000,20000,VIA APPIA, LATA 30. XX W.,2020-10-18,42.1,34.2,1439.8200000000002,olej,tektura,30
Adam Styka,zarchiwizowany,13000,24000,PORTRET JANA STYKI, OK. 1920,2020-10-18,46.5,35.0,1627.5,olej,płótno,1920
Teodor Axentowicz,zarchiwizowany,30000,55000,DZIEWCZYNA I RÓŻE,,2020-10-18,48.4,67.4,3262.1600000000003,akwarela,pastel karton,
Jankiel  Adler ,dostępny w Galerii,65000,0,WAZON Z KWIATAMI, OK. 1930,2020-10-18,61.5,47.5,2921.25,,technika mieszana,1930
Błażej  Iwanowski ,zarchiwizowany,4000,8500,MARTWA NATURA Z PEONIAMI, 1937,2020-10-18,70.0,89.3,6251.0,olej,płótno,1937
Czesław (I. Zygmuntowicz) Wasilewski,zarchiwizowany,12000,15000,PYTANIE O DROGĘ,,2020-10-18,50.1,81.2,4068.1200000000003,olej,płótno,
Rafał Malczewski,zarchiwizowany,8000,13000,PEJZAŻ ZNAD BOW RIVER W KANADZIE, 1943 - 1950,2020-10-18,38.2,55.5,2120.1000000000004,akwarela,karton,1943
-,zarchiwizowany,5000,5000,POPIERSIE MŁODEJ KOBIETY, OK. 1900,2020-10-18,1.0,1.0,1.0,,terrakota polichromowana,1900
Tadeusz Styka,zarchiwizowany,30000,77000,PORTRET GLORII DREW,,2020-10-18,76.7,63.7,4885.79,olej,płótno,
Juliusz Kossak,zarchiwizowany,23000,49000,DRUŻBOWIE NA WESELU UKRAIŃSKIM, 1892,2020-10-18,22.9,30.3,693.87,"akwarela, gwasz",papier naklejony na tekturę,1892
Jakub (Jacques) Zucker,zarchiwizowany,12000,12000,MOSTY PARYŻA: PONT DES ARTS I PONT NEUF,,2020-10-18,60.0,72.5,4350.0,olej,płótno,
Jan Szancenbach,zarchiwizowany,18000,27000,MARTWA NATURA Z IRYSAMI, 1983,2020-10-18,90.5,100.0,9050.0,olej,płótno,1983
Włodzimierz Zakrzewski,zarchiwizowany,6000,22000,PARYŻ. WIDOK NA PONT NEUF, 1969,2020-10-18,73.3,92.3,6765.589999999999,olej,płótno,1969
Stanisław Wyspiański,dostępny w Galerii,120000,0,WNĘTRZE PRACOWNI, 1891-1894,2020-10-18,62.3,47.7,2971.71,pastel,papier żeberkowy,1891
Włodzimierz Tetmajer,dostępny w Galerii,280000,0,SWATY, OK. 1900,2020-10-18,99.5,114.5,11392.75,olej,płótno,1900
Jerzy Nowosielski,zarchiwizowany,4000,9000,KRÓL MELCHIZEDEK, OK. 1982,2020-10-18,28.0,20.0,560.0,"akwarela, tempera, ołówek",papier,1982
Jerzy Nowosielski,zarchiwizowany,3000,8500,PROROK MICHEASZ, OK. 1982,2020-10-18,17.0,11.0,187.0,"akwarela, tempera, ołówek",papier,1982
Jerzy Duda Gracz,zarchiwizowany,35000,50000,ŚWIĘTY ANTONI, POŁ. LAT 70. XX W.,2020-10-18,102.0,30.0,3060.0,"drewno polichromowane, kamienie",metal,70
Jerzy Nowosielski,zarchiwizowany,3000,5000,PROROK ELIZEUSZ, OK. 1982,2020-10-18,17.0,11.0,187.0,"akwarela, tempera, ołówek",papier,1982
Jerzy Nowosielski,zarchiwizowany,3000,5000,PROROK JONASZ, OK. 1982,2020-10-18,17.0,11.0,187.0,"akwarela, tempera, ołówek",papier,1982
Zdzisław Beksiński,zarchiwizowany,110000,192000,OA, PO 1984,2020-10-18,92.0,88.0,8096.0,olej,płyta,1984
Zdzisław Beksiński,zarchiwizowany,130000,295000,BEZ TYTUŁU, 1982,2020-10-18,87.0,75.0,6525.0,olej,płyta,1982
Jerzy Nowosielski,dostępny w Galerii,14000,0,WALKA JAKUBA Z ANIOŁEM, LATA 80. XX W.,2020-10-18,54.3,39.4,2139.4199999999996,ołówek,papier,80
Franciszek Starowieyski,zarchiwizowany,13000,23000,ISTOTY ŻYWOPODOBNE, 2001,2020-10-18,98.0,68.0,6664.0,pastel,papier szary,2001
Helena Zaremba-Cybis,zarchiwizowany,6000,6000,BUKIET, 1978,2020-10-18,61.5,55.5,3413.25,olej,płótno,1978
Jan Cybis,zarchiwizowany,24000,25000,CZERWONY DASZEK, OK. 1965-1966,2020-10-18,33.0,46.0,1518.0,olej,płótno,1965
Tadeusz Dominik,zarchiwizowany,24000,24000,NOKTURN (PEJZAŻ MAZOWIECKI), 2009,2020-10-18,73.0,82.0,5986.0,olej,płótno,2009
Edward Dwurnik,zarchiwizowany,5000,12000,"CZERWONE UCHO, CZERWONE OKO...", 1972,2020-10-18,42.0,30.0,1260.0,"flamaster, collage",papier,1972
Edward Dwurnik,zarchiwizowany,5000,5500,DOBRZY FACHOWCY, 1973,2020-10-18,42.0,30.0,1260.0,"flamaster, collage",papier,1973
Tadeusz Dominik,zarchiwizowany,6000,7500,OGRÓD, 1991,2020-10-18,49.0,62.0,3038.0,akwarela,papier,1991
Stanisław Młodożeniec ,zarchiwizowany,8000,8500,SPONTANES, 2010,2020-10-18,68.0,83.0,5644.0,olej,płótno,2010
Jerzy Nowosielski,zarchiwizowany,3000,4500,ŚWIĘTY BENEDYKT, OK. 1982,2020-10-18,15.0,9.0,135.0,"akwarela, tempera, ołówek",papier,1982
Edward Dwurnik,zarchiwizowany,20000,66000,ŚW. ANNA, 2004,2020-10-18,100.0,73.0,7300.0,olej,płótno,2004
Jan Tarasin,zarchiwizowany,12000,22000,MAGAZYN II, 1993,2020-10-18,55.0,41.0,2255.0,akwarela,papier,1993
Zdzisław Beksiński,zarchiwizowany,14000,31000,BEZ TYTUŁU, OK. 1989,2020-10-18,28.8,20.0,576.0,długopis,papier kremowy,1989
Eugeniusz Minciel,zarchiwizowany,4000,4400,STRACH, 2014,2020-10-18,61.5,46.0,2829.0,"akryl, kredka",płótno,2014
Tadeusz Dominik,zarchiwizowany,26000,30000,PEJZAŻ, 1993,2020-10-18,76.0,107.0,8132.0,olej,płótno,1993
Igor Mitoraj,zarchiwizowany,26000,55000,PERSEUSZ, 1988,2020-10-18,48.0,25.0,1200.0,brąz,kamień,1988
 Witold-K.,zarchiwizowany,9000,18000,Z CYKLU „SAMOTNOŚĆ“, 2020,2020-10-18,81.0,60.0,4860.0,akryl,płótno,2020
Jan Ziemski,zarchiwizowany,12000,14000,BEZ TYTUŁU, 2. POŁ. LAT 50. XX W.,2020-10-18,56.0,67.0,3752.0,"technika mieszana, olej",płótno,2
Wilhelm Sasnal,zarchiwizowany,250000,250000,AGNIESZKA SZYDŁOWSKA, 2001,2020-10-18,149.5,149.5,22350.25,olej,płótno,2001
Kazimierz Mikulski,zarchiwizowany,8000,8000,RYSUNEK, LATA 90. XX W,2020-10-18,29.2,23.1,674.52,"tusz pióro, akwarela",papier,90
Maria Papa Rostkowska,zarchiwizowany,18000,18000,MAŁA SYRENKA, 1998,2020-10-18,30.0,19.5,585.0,,marmur,1998
Henryk Musiałowicz,zarchiwizowany,8000,9000,Z CYKLU REMINISCENCJE, 1984,2020-10-18,94.5,78.0,7371.0,"olej, technika mieszana",płyta pilśniowa,1984
Roman Opałka,zarchiwizowany,80000,0,DETAL 4425337, Z CYKLU „OPALKA 1965/1 – OO“,2020-10-18,30.3,23.8,721.14,"fotografia, odbitka żelatynowo-srebrowa",papier,1965
Ryszard Winiarski,zarchiwizowany,6000,9000,DIAGONALNA GRA, 1999,2020-10-18,33.0,24.0,792.0,"akryl, ołówek",płótno,1999
Tadeusz Kantor,dostępny w Galerii,55000,0,BEZ TYTUŁU, 1966,2020-10-18,49.0,64.0,3136.0,collage,karton naklejony na płótno,1966
Igor Mitoraj,zarchiwizowany,12000,12000,FLAMMES – PARA LICHTARZY,,2020-10-18,23.0,9.4,216.20000000000002,,brąz patynowany,
Jan Berdyszak,dostępny w Galerii,25000,0,CAŁOŚĆ, 2008,2020-10-18,63.0,27.5,1732.5,"akryl, płótno",deska,2008
Agata Ruman,zarchiwizowany,1000,1200,PODRÓŻ, 2017,2020-10-08,80.0,100.0,8000.0,olej,płótno,2017
"Krzysztof Kulicki ""Kulwietis""",zarchiwizowany,1000,1300,MAŁGOSIA GRA NA PIANINIE W BAGNOLET, 2003,2020-10-08,90.0,131.0,11790.0,olej,płótno,2003
Joanna Sztyrak,zarchiwizowany,1000,1500,WYRAJ III, 2020,2020-10-08,60.0,80.0,4800.0,olej,płótno,2020
Żaneta Chłostowska,zarchiwizowany,800,800,ZAPOMNIANA PODRÓŻ, 2020,2020-10-08,120.0,100.0,12000.0,akryl,płótno,2020
Bartosz Buczyński,dostępny w Galerii,1500,0,DRZEWA POMARAŃCZOWE W ZIELONYM ZAGAJNIKU, 2018,2020-10-08,23.5,23.5,552.25,"czarny tusz, farby wodne",jedwab,2018
Dominika Kędzierska,zarchiwizowany,1000,1700,BEZ TYTUŁU, 2020,2020-10-08,80.0,80.0,6400.0,olej,płótno,2020
Dawid Zdobylak,zarchiwizowany,1500,1700,MIASTO, 2020,2020-10-08,32.0,92.0,2944.0,olej,płótno,2020
Rafał Kapica,zarchiwizowany,1000,1000,SŁOŃCE, 2020,2020-10-08,100.0,100.0,10000.0,olej,płótno,2020
Karifurava Caihua,zarchiwizowany,1500,1600,KIKKOMAN, 2020,2020-10-08,120.0,90.0,10800.0,akryl,płótno,2020
Natalia Fundowicz,zarchiwizowany,1000,2100,OBRÓĆ SIĘ DO MNIE, 2020,2020-10-08,80.0,100.0,8000.0,"akwarela, ekolina, akryl",płótno,2020
Szymon Piotrowski,dostępny w Galerii,800,0,BEZ TYTUŁU, 2019,2020-10-08,21.0,14.8,310.8,"akwarela, gwasz",papier,2019
Maciej Majewski,zarchiwizowany,1000,1100,MEWA Z PORTO PATRZĄCA NA OCEAN, 2020,2020-10-08,50.0,150.0,7500.0,akryl,płótno,2020
Patrycja Kruszyńska-Mikulska,zarchiwizowany,1000,1200,"Z CYKLU KIMONO I WACHLARZ, GEISHA II", 2020,2020-10-08,80.0,80.0,6400.0,akryl,płótno,2020
Magdalena Kirklewska,dostępny w Galerii,800,0,STRONG MAN WITH TATTOOS 14, 2020,2020-10-08,71.0,51.5,3656.5,akryl,papier,2020
Hanna Rozpara,dostępny w Galerii,1000,0,RÓŻOWY LOTOS, 2020,2020-10-08,80.0,80.0,6400.0,akryl,płótno,2020
Beata Tarnowska,zarchiwizowany,1000,1000,"Z CYKLU ""NIERZECZYWISTE""/12", 2020,2020-10-08,60.0,80.0,4800.0,olej,płótno,2020
Marta Tańcula,zarchiwizowany,1000,0,ŁĄKA, 2020,2020-10-08,60.0,60.0,3600.0,akryl,płótno,2020
Krystyna Róż-Pasek,zarchiwizowany,1000,1500,ROZENTUZJAZMOWANIE, 2020,2020-10-08,80.0,100.0,8000.0,olej,płótno,2020
Paweł Tkaczyk,zarchiwizowany,1000,0,BEZ TYTUŁU, 2017,2020-10-08,150.0,130.0,19500.0,akryl,płótno,2017
Agnieszka Mrowca-Turek,dostępny w Galerii,1000,0,W ODBICIU, 2020,2020-10-08,50.0,60.0,3000.0,akryl,płótno,2020
Wojtek Kazimierczak,dostępny w Galerii,1000,0,PEJZAŻ W TRAKCIE, 2019,2020-10-08,119.5,134.5,16072.75,technika własna,płótno,2019
Grzegorz Skrzypek,zarchiwizowany,1000,0,SEN NOCY LETNIEJ, 2019,2020-10-08,100.0,85.0,8500.0,olej,płótno,2019
Adam Kołakowski,zarchiwizowany,1000,1100,BELGIAN SUMMER, 2020,2020-10-08,100.0,100.0,10000.0,olej,płótno,2020
Filip Moszant,zarchiwizowany,1000,0,ODDH 25, 2020,2020-10-08,100.0,70.0,7000.0,tempera,papier,2020
Jerzy Sojka,dostępny w Galerii,1500,0,ŚWIATŁA MIASTA I, 2016,2020-10-08,80.0,100.0,8000.0,"akryl, technika mieszana",płótno,2016
Yura Kimakovych,zarchiwizowany,1000,0,PSILACETIN, 2020,2020-10-08,120.0,80.0,9600.0,akryl,płótno,2020
Justyna Koziczak,zarchiwizowany,1500,0,ZMARTWYCHWSTANIE, 2020,2020-10-08,76.0,61.0,4636.0,olej,płótno,2020
Magdalena Król,dostępny w Galerii,1000,0,AFG220, 2020,2020-10-08,100.5,100.5,10100.25,"technika własna, akryl",płótno,2020
Mila Starzyńska,zarchiwizowany,1000,0,AZUL, 2020,2020-10-08,80.0,80.0,6400.0,"technika własna, akryl, węgiel",płótno,2020
Bartłomiej Załucki,dostępny w Galerii,800,0,KAPELUSZ, 2020,2020-10-08,100.0,70.0,7000.0,akryl,płótno,2020
Magdalena Rytel-Skorek,zarchiwizowany,1000,0,LATO 2020, 2020,2020-10-08,50.0,50.0,2500.0,"akryl, szlagmetal",płótno,2020
Jurij Bandera,dostępny w Galerii,1000,0,HERBATA Z CYTRYNĄ, 2020,2020-10-08,60.0,50.0,3000.0,olej,płótno,2020
